,Meal_id,Name,Catagory,Description,Veg_non,Nutrient,Diet,Diabeties,Heart_Disease,Hypertension
10,meal_id15  ,almond and cranberry poha                                                     ,poha        ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,0,0,1
11,meal_id16  ,almond and raw banana galawat                                                 ,banana      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,1,1,1
12,meal_id17  ,baked namakpara with roasted almond dip                                       ,dip         ,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,calcium       ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                 ,0,0,1
13,meal_id18  ,grilled almond barfi (sugar free)                                             ,barfi       ,"khoya, sweetener (optional), almonds (crushed)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,calcium       ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,0,0,1
14,meal_id19  ,baked shankarpali recipe                                                      ,shankarpali ,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,carbohydrates ,alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                            ,1,0,0
15,meal_id21  ,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,calcium       ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,1,0,0
16,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,vitamin_e     ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,1,1,0
17,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,calcium       ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,1,1,1
18,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,protien       ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,0,0,1
19,meal_id26  ,almond pearls                                                                 ,almond      ,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,protien       ,gluten_free_diet                                                                                                                                                                        ,0,0,1
20,meal_id27  ,hawaiin papaya salad                                                          ,salad       ,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,fiber         ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                             ,0,0,1
21,meal_id28  ,vegetable som tam salad                                                       ,salad       ,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,0,1,1
22,meal_id30  ,couscous with ratatouille - tangy tomato sauce                                ,sauce       ,"for the cous cous:, plain couscous, extra virgin olive oil, vegetable stock, herbs (basil, parsley, thyme, cilantro work best), for the ratatouille:, olive oil (regular not extra virgin), red onions, aubergines (cut in to 3 cm cubes), zucchini (cut in to 3 cm cubes), garlic cloves, ground cumin, sweet paprika, tomato paste, salt                                                                                                                                                                                                                            ",veg     ,chloride      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,1,1,1
23,meal_id31  ,baked almond kofta                                                            ,kofta       ,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,calcium       ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,0,0,1
24,meal_id32  ,almond and amaranth ladoo                                                     ,ladoo       ,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,calcium       ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,0,0,1
25,meal_id33  ,moong dal kiwi coconut soup                                                   ,soup        ,"Dusted moong dal boiled with salt, kiwi, coconut cream, oil, bay leaves, cumin, black pepper, garlic cloves, onion, turmeric powder, curry powder, salt, fresh coriander                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,sodium        ,alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet                                                                                                      ,0,0,1
26,meal_id28  ,vegetable som tam salad                                                       ,salad       ,"Peanuts, Carrots, French Beans, Cherry Tomatoes, Garlic, Crushed Mix Chili, Som Tam Dressing, Peanuts (Crushed), Peanuts                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,0,1,1
27,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"Whole green moong dal, desi ghee, milk, jaggery, cardamom powder, almonds                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,iron          ,alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet                                                                                                            ,1,1,1
28,meal_id34  ,mixed berry &amp; banana smoothie                                             ,smoothie    ,"Frozen mixed berries, ripe banana, fresh orange juice, low fat yogurt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,1,0,1
29,meal_id35  ,banana walnut smoothie                                                        ,smoothie    ,"Low fat yogurt, banana, walnuts, seeds (flaxseeds and chia seeds), honey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet                                                                                                                    ,0,0,1
30,meal_id37  ,red rice poha                                                                 ,poha        ,"Onion, Pepper, Button Mushroom, Wild Mushroom, White Wine, Tomato, Sage Leaf, Red Poha, Truffle Oil, Rosemary                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,carbohydrates ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,1,0,0
31,meal_id38  ,mixed salad with lotus root                                                   ,salad       ,"Iceberg lettuce, lollo rosso, endive lettuce, red cabbage, lotus root, pumpkin, yam beans, shallots, pomegranate, shallot oil, pomelo, lemongrass sauce                                                                                                                                                                                                                                                                                                                                                                                                               ",veg     ,fiber         ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                   ,1,0,1
32,meal_id39  ,sweet potato and quinoa bowl                                                  ,potato      ,"Sweet potato cubes, coconut, onion, quinoa (cooked), raisins, cashews, black pepper powder, cayenne, bay leaf, salt                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,protien       ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                        ,0,0,1
33,meal_id40  ,corn and raw mango salad                                                      ,salad       ,"Corn kernels, onion, green onion, red capsicum, raw mango (pieces), celery stock (pieces), cherry tomatoes, pineapple (pieces), parsley, coriander, basil leaves, black olives, lemon juice, olives Oil, Black Salt, White Chilli Powder, Taco Shell                                                                                                                                                                                                                                                                                                                  ",veg     ,fiber         ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet                                                                            ,1,1,1
34,meal_id41  ,oats khichdi                                                                  ,khichdi     ,"Quick Cooking Oats, Moong Dal, Cumin, Turmeric Powder, Red Chilli Powder, Onion, Tomato, Carrot, Green Peas, Ginger, Green Chillies, Salt, Extra Virgin Olive Oil, Water, Coriander                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,protien       ,high_protien_diet dash_diet gluten_free_diet                                                                                                                                            ,0,0,1
35,meal_id42  ,sugar free modak                                                              ,snacks      ,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",veg     ,carbohydrates ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                        ,1,1,1
36,meal_id43  ,beetroot modak                                                                ,snacks      ,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,selenium      ,vegan_diet low_fat_diet ketogenic_diet                                                                                                                                                  ,0,0,1
37,meal_id48  ,almond and chicken momos (without shell)                                      ,snacks      ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,0,0,1
38,meal_id51  ,christmas chocolate fudge cookies                                             ,cookie      ,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
39,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
40,meal_id53  ,chocolate appo                                                                ,snacks      ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
41,meal_id12  ,lemon honey glazed sous vide corn on the cob                                  ,snacks      ,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer                                                                                                                                                                                                                                                                                                                                                                                                        ",non-veg ,protien       ,low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                                                                               ,1,0,0
42,meal_id54  ,sous-vide salmon tikka                                                        ,snacks      ,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt                                                                                                                                                                                                                                                                                                                                                                                                                                                ",non-veg ,calcium       ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,1,1,1
43,meal_id15  ,almond and cranberry poha                                                     ,snacks      ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,iron          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,0,0,1
44,meal_id16  ,almond and raw banana galawat                                                 ,snacks      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter                                                                                                                                                                                                                                                                                                                                                                       ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,1,1,1
45,meal_id17  ,baked namakpara with roasted almond dip                                       ,snacks      ,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,calcium       ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                 ,0,0,1
46,meal_id18  ,grilled almond barfi (sugar free)                                             ,snacks      ,"khoya, sweetener (optional), almonds (crushed)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",veg     ,calcium       ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,0,0,1
47,meal_id56  ,chocolate samosa                                                              ,snacks      ,"refined flour, desi ghee, black cardamom seeds, chocolate flutter_block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil                                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
48,meal_id19  ,baked shankarpali recipe                                                      ,snacks      ,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee                                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,carbohydrates ,alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                            ,1,0,0
49,meal_id23  ,dates and nuts ladoo                                                          ,snacks      ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",veg     ,vitamin_e     ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,1,1,0
50,meal_id57  ,fish with jamun sauce                                                         ,snacks      ,"Berries, sugar, chilli, garlic cloves, cumin powder, fish fillet, semolina, salt, spinach                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
51,meal_id59  ,pesto fish kebabs                                                             ,snacks      ,"King fish cut into one inch pieces, red capsicum cut into one inch pieces, basil pesto, white wine vinegar, salt, cooking spray                                                                                                                                                                                                                                                                                                                                                                                                                                       ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
